Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,Residential_Status,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Loan_Type,Co-Applicant,Bank_Account_History,Transaction_Frequency,Default_Risk,Loan_Approval_Status
1,32,0,1,2,0,0,2,56227,3079,444,1,45654,1735,0,13664,210,2,14.28,0,1,3,13,0.9,0
0,30,1,0,1,0,3,1,51096,4923,477,1,31397,4370,0,15878,43,3,9.15,0,1,5,13,0.38,0
1,33,1,3,1,2,1,1,114752,1046,820,0,34458,18908,0,25716,183,0,12.53,1,0,6,20,0.54,1
1,40,2,3,0,0,1,1,54275,4004,788,0,42655,26292,0,20000,101,3,9.05,1,0,1,19,0.86,0
1,41,2,3,1,0,1,1,114957,3215,841,1,10051,22454,0,30120,142,2,3.93,0,1,7,7,0.54,1
1,35,2,1,1,0,2,2,66116,4539,405,2,49103,6467,0,25554,108,1,10.95,1,1,9,11,0.16,0
0,38,2,3,1,1,2,1,45179,2220,455,2,38514,3454,0,6388,238,1,12.82,0,0,0,7,0.39,1
1,36,1,1,1,0,0,1,85915,845,825,2,41222,25261,0,24162,73,2,13.14,1,1,5,7,0.68,1
1,47,1,1,2,1,0,1,121666,4691,761,1,17379,10870,0,21361,40,3,12.08,1,0,9,6,0.77,1
1,18,1,2,0,0,0,1,56836,3450,561,1,26300,10418,1,8520,227,2,9.92,0,0,1,12,0.21,1
0,37,2,2,0,1,1,1,115228,4443,821,1,5707,22604,0,24364,236,2,10.08,0,1,2,10,0.08,1
0,32,1,1,0,2,0,1,55686,1023,762,2,8835,14510,0,20000,170,3,10.48,0,1,5,20,0.99,0
1,36,2,2,0,1,0,1,129353,1593,808,1,28163,7487,0,30931,121,0,10.03,1,0,6,23,0.43,0
1,41,1,1,0,2,3,1,103614,2390,790,0,20000,6675,1,23665,185,1,12.27,1,1,7,15,0.16,1
0,58,1,2,0,2,2,1,30033,2739,544,0,2635,18398,0,7821,60,3,7.4,0,0,0,22,0.64,0
1,38,1,2,1,0,1,0,116457,986,747,1,17187,25015,0,22333,43,1,13.92,0,1,7,27,0.27,1
0,40,2,2,1,2,1,1,61041,1628,705,2,45454,5451,0,20000,120,0,9.4,0,0,8,17,0.4,1
0,42,1,1,0,1,2,1,124083,3962,822,0,23328,13436,0,27205,188,1,6.71,0,0,4,22,0.15,1
0,43,2,3,1,2,2,1,86596,2806,848,1,48920,4762,1,22631,131,0,5.84,1,1,5,15,0.37,1
0,34,1,2,1,2,2,1,53370,2290,766,2,26247,22553,1,20000,144,3,12.7,0,0,8,5,0.07,1
1,28,1,2,1,1,2,1,105690,1271,722,2,35642,21079,0,25944,210,1,8.8,1,1,3,18,0.25,1
0,27,2,0,1,1,0,1,92238,4298,845,1,34382,6560,0,27270,61,3,13.49,0,0,5,7,0.74,1
1,26,1,3,0,2,1,0,146603,2388,764,0,45939,25380,0,35023,86,2,14.32,0,0,7,21,0.73,1
1,54,2,2,2,0,1,1,48441,981,344,0,19420,6210,0,12342,174,0,7.2,1,1,7,9,0.94,0
1,42,0,0,1,0,3,1,115561,1815,753,0,41118,9742,0,22392,148,2,6.55,0,0,9,23,0.92,0
0,38,1,0,1,2,3,2,88843,3239,836,0,45869,7826,0,25123,238,2,6.34,1,1,2,15,0.48,1
0,19,2,1,2,2,1,2,42930,4315,409,1,40029,22209,0,13682,35,1,14.84,1,1,9,21,0.55,0
1,48,2,0,1,0,2,1,72752,4222,755,1,49200,4564,1,20936,234,2,9.84,0,1,9,21,0.05,1
0,19,1,3,1,1,3,0,66425,2329,344,1,43738,6402,0,5950,57,0,14.17,0,1,9,24,0.26,0
0,48,2,0,1,0,1,2,61319,2623,744,1,8023,27104,0,20000,220,1,6.5,1,0,5,25,0.2,1
1,31,1,2,0,1,2,1,67387,4380,532,1,30218,28225,0,17574,22,1,7.41,1,0,6,13,0.74,0
1,18,2,1,1,0,2,2,69944,2144,551,2,36928,11694,0,8543,54,2,5.37,1,0,1,22,0.07,1
1,38,1,2,0,1,2,0,146650,2662,729,2,20069,15419,1,36065,20,1,10.48,0,0,5,9,0.3,1
0,28,2,1,2,0,1,1,60385,2155,327,1,48765,387,0,10160,70,1,7.34,0,1,6,15,0.17,0
0,32,2,2,0,0,2,1,26226,3430,595,0,25668,1904,0,9656,104,1,4.14,0,1,0,18,0.51,0
0,49,2,1,0,0,3,1,52533,3603,846,0,6272,7925,0,20000,12,1,8.35,1,1,0,15,0.76,1
1,32,0,2,0,1,1,2,74932,4895,725,2,7729,14759,0,20889,60,1,7.62,1,1,8,10,0.52,0
0,34,2,2,0,2,2,1,135550,3170,838,2,37664,17290,0,30799,199,1,8.34,1,0,3,15,0.43,1
0,42,2,3,0,2,2,1,55457,1238,437,0,2428,20811,0,16725,22,1,4.33,1,1,0,29,0.45,0
0,27,0,2,2,0,3,1,84847,2773,760,1,35214,27043,0,24183,152,1,5.26,1,0,6,15,0.12,1
1,42,2,1,0,1,2,2,147636,2058,848,2,47951,3470,0,31600,87,0,7.52,1,1,7,16,0.84,1
1,25,2,2,1,0,3,1,109266,2677,743,1,33579,23199,0,21803,95,3,9.03,1,1,5,24,0.07,1
0,48,1,2,1,0,2,0,143533,2609,722,2,39246,19954,0,26751,86,1,5.51,1,1,1,24,0.89,1
1,48,1,0,1,0,0,2,121978,1565,847,1,28444,23370,0,25116,222,2,14.72,1,0,9,10,0.84,1
1,32,2,1,0,0,0,2,133566,2240,711,2,2287,26039,0,32111,92,1,5.74,1,0,6,25,0.24,1
0,20,0,1,0,0,1,1,58880,1719,513,1,18137,5672,1,16545,199,1,11.61,1,0,0,22,0.07,0
1,25,1,2,1,1,3,1,85780,3221,753,1,3872,9317,0,24381,212,3,4.69,0,1,8,16,0.4,1
1,49,2,1,1,1,3,2,95828,1831,762,2,37153,29520,0,25302,195,0,7.52,1,0,4,24,0.93,1
1,31,1,1,2,1,3,1,128450,2151,807,1,35919,11986,1,25573,148,1,5.66,0,1,0,28,0.41,1
0,46,1,1,0,0,1,1,146351,2228,715,1,37131,6204,1,24699,131,2,6.87,0,1,6,14,0.64,0
1,47,2,2,1,0,1,2,91891,1860,751,2,6128,18317,0,25184,168,0,7.14,0,1,0,24,0.93,1
1,46,1,2,0,0,1,1,137498,3420,794,0,45765,16337,0,26253,190,1,12.08,1,1,1,24,0.05,1
0,35,2,2,1,0,0,1,119555,1399,796,0,36625,9368,0,34982,165,2,4.94,0,1,4,14,0.3,1
1,28,2,2,2,0,2,2,121069,1238,747,0,29959,18443,0,29615,35,3,7.16,1,1,9,5,0.17,0
1,42,2,0,0,0,1,1,92960,4194,762,0,15994,10167,1,23414,67,2,5.43,0,0,9,19,0.01,1
1,35,1,3,1,1,2,1,84300,3090,708,2,25197,11165,0,22218,223,1,5.39,0,0,5,11,0.72,1
1,50,2,3,2,1,3,1,41812,2934,393,0,8766,27824,0,6417,187,1,5.68,1,0,0,5,0.24,1
0,35,1,2,1,1,3,1,147189,2516,775,2,46418,1822,0,25782,213,1,11.5,1,1,0,13,0.98,1
1,58,1,0,0,0,3,1,62174,4357,330,0,13111,20204,1,15707,221,1,9.91,1,1,1,19,0.39,0
1,19,1,2,1,1,3,0,26356,4374,398,0,3864,6470,1,9737,139,1,11.98,1,1,1,5,0.18,0
0,46,2,3,1,2,2,1,55520,1978,756,1,38160,28460,0,20000,26,2,7.8,1,1,0,10,0.79,1
0,40,1,1,0,1,1,1,52661,3599,586,2,46524,21081,0,10491,19,3,7.71,0,1,9,26,0.43,0
0,49,1,0,1,0,0,2,65040,2611,784,2,20914,5219,1,20000,26,3,10.4,0,1,3,12,0.83,1
1,33,2,3,1,2,2,0,114397,2782,751,1,20534,20884,0,24459,199,0,8.77,0,1,6,26,0.98,1
0,44,1,1,1,0,2,2,59833,3175,833,1,13287,7928,0,20000,65,3,7.21,0,1,5,11,0.73,0
1,63,1,1,1,0,2,2,69927,2542,430,1,26154,20117,0,20044,185,1,13.15,1,0,1,26,0.61,0
0,39,1,0,1,0,1,1,143905,2860,766,0,43541,1193,0,35802,176,3,7.26,0,1,4,23,0.14,1
0,26,0,1,0,1,2,1,41162,588,433,2,13805,20725,0,12724,194,2,12.7,0,0,1,11,0.98,0
1,39,1,3,2,2,1,1,70039,917,831,0,19623,29652,0,20186,44,3,3.96,1,1,9,15,0.58,1
1,59,1,0,0,2,2,1,44707,4702,597,0,16461,26057,0,14252,60,0,9.1,0,1,9,29,0.35,0
0,26,2,1,2,0,1,2,106726,1425,729,2,41540,22570,0,27333,25,0,6.38,0,1,7,20,0.63,1
1,39,1,2,1,1,0,1,143258,3638,751,2,37807,6405,1,31685,175,1,4.82,0,0,7,5,0.36,1
0,25,2,1,1,2,3,0,87810,4246,829,0,37142,4294,0,22631,218,1,7.36,1,1,7,19,0.11,0
0,36,2,1,2,2,0,1,81971,2506,820,2,23858,3298,0,23367,149,1,10.2,0,0,6,21,0.23,1
1,46,1,1,2,0,0,2,105737,3325,743,1,17285,28828,0,21089,26,1,13.18,0,1,9,14,0.74,1
0,69,0,2,1,1,0,1,35697,3196,531,1,1378,6297,0,6251,115,1,5.09,0,1,9,17,0.36,0
0,28,1,1,0,2,0,1,111673,855,711,1,11801,20793,0,32644,103,1,10.6,1,0,9,28,0.49,1
1,30,0,0,0,2,3,1,35808,702,458,1,27330,20978,0,6699,197,1,4.16,0,0,6,14,0.2,0
1,34,1,0,1,0,2,1,142187,1139,802,0,46499,26597,0,32543,151,2,11.85,1,1,1,21,0.31,1
0,31,1,1,1,1,0,1,35161,1411,388,0,7302,5245,0,10470,206,1,15.0,1,1,6,7,0.08,0
0,34,1,0,1,1,3,1,103616,4438,804,0,17783,18637,0,30871,95,2,13.44,1,0,7,9,0.43,1
0,35,1,0,1,1,2,1,74826,1931,846,1,3412,19544,0,22318,146,1,10.84,1,0,3,7,0.37,1
0,32,1,0,1,0,1,1,31272,680,445,0,4148,5267,0,8749,148,0,6.36,1,1,4,8,0.61,0
0,25,1,2,0,0,1,0,58983,3259,710,1,42841,18539,0,20000,94,3,5.46,1,0,9,16,0.41,1
0,46,2,3,0,0,1,2,111750,909,763,1,7770,20256,0,22613,105,0,9.92,1,1,3,22,0.62,1
0,27,1,1,0,1,2,2,130337,4170,778,1,5074,5550,0,28484,193,2,11.5,1,1,3,22,0.32,1
0,31,1,1,2,0,3,1,148067,3047,833,0,39723,10793,1,28833,108,0,10.56,1,0,8,19,0.47,1
1,38,1,3,0,0,2,1,136313,1587,764,2,22120,22419,0,29946,214,3,5.15,1,0,6,11,0.69,1
1,66,2,3,0,0,3,1,35826,1445,376,1,5406,27366,1,14096,184,1,8.57,0,1,3,22,0.96,1
0,32,1,0,1,0,0,1,50013,536,794,1,7551,15804,0,20000,17,1,5.71,1,1,7,6,0.24,0
1,33,1,2,1,1,1,1,139389,2624,812,1,29790,23689,0,33511,218,2,7.94,1,0,4,17,0.26,1
1,44,1,2,1,0,3,1,96665,2897,780,2,39830,24538,1,21891,76,2,5.04,0,1,2,7,0.91,1
0,45,1,2,2,0,1,2,73320,3219,719,0,24101,315,0,20848,19,3,8.47,0,1,6,13,0.16,1
1,48,0,2,2,0,1,1,112243,1430,767,2,32734,29596,0,30933,22,0,12.67,0,1,2,19,0.11,1
1,22,0,1,1,0,2,1,34813,3052,565,1,18231,11517,0,9331,89,1,8.91,0,0,8,27,0.36,0
1,43,2,1,0,1,3,2,23013,4451,398,2,36016,11479,0,5296,107,2,14.31,1,1,0,29,0.03,0
1,44,1,2,1,0,3,1,127903,3823,724,0,37723,28664,0,27682,38,3,10.06,1,0,5,8,0.68,1
1,54,2,1,2,0,0,2,39272,1196,368,2,16411,2264,0,5397,63,1,13.91,1,0,7,7,0.64,0
0,67,2,3,0,0,0,1,21020,4999,442,2,13973,13536,1,7846,22,2,9.72,0,0,4,7,0.66,0
1,25,2,1,0,2,3,2,103273,4265,812,1,20422,20992,1,27505,154,1,4.93,1,1,3,13,0.91,0
0,28,1,1,1,1,3,1,101824,3508,725,1,32376,20872,1,23536,98,1,13.14,1,1,2,28,0.08,1
1,34,1,2,0,0,1,1,89691,1755,815,0,10838,27819,0,20512,198,2,6.6,0,1,3,19,0.03,1
1,48,2,1,1,2,0,2,54569,2681,731,2,19306,10775,0,20000,33,2,5.33,0,0,8,11,0.45,1
0,34,2,0,0,0,2,1,129100,4808,808,0,14204,12259,0,29269,213,2,6.81,0,1,7,21,0.38,1
1,42,1,3,0,0,2,1,98374,1648,809,2,879,3738,0,27660,104,1,8.47,1,0,2,17,0.56,1
1,38,1,1,0,1,2,1,77759,2125,840,0,30085,25281,0,21062,38,0,4.56,0,0,6,28,0.82,1
0,31,1,0,1,1,3,1,91532,2980,821,1,288,19059,0,25653,153,1,5.32,1,1,4,28,0.89,1
0,36,1,3,1,1,2,0,133863,3124,707,2,21421,6898,0,20769,45,1,9.22,0,0,2,5,0.39,1
0,32,0,3,0,2,3,1,141681,3117,719,1,48975,22253,0,21274,52,1,6.65,1,0,7,24,0.82,1
0,34,1,1,1,2,1,1,92175,4338,770,0,8381,15064,0,20888,208,1,14.8,1,1,0,21,0.68,1
0,52,2,1,1,0,0,1,21048,1768,458,1,29138,29374,1,5722,148,2,11.5,1,0,2,5,0.49,1
0,23,2,3,0,1,1,1,69084,3729,359,0,45995,11305,1,23561,119,1,11.65,1,1,6,21,0.49,1
1,47,0,0,0,0,2,1,85573,2846,841,2,34708,12426,0,24239,188,1,12.33,0,0,2,18,0.94,1
0,38,0,2,2,0,0,2,66027,4485,710,2,9314,4835,0,20000,125,0,13.7,0,1,7,7,0.72,1
1,38,1,3,0,2,2,1,32210,509,300,1,46032,8668,0,9119,27,0,6.89,1,1,9,19,0.44,0
1,47,2,2,2,1,3,0,137548,2208,725,2,8732,13822,0,30399,118,2,3.76,1,1,3,7,0.45,1
0,37,1,1,2,2,0,1,143447,3957,829,1,18690,19007,0,27658,158,3,10.39,0,0,3,16,0.42,1
1,30,2,1,1,1,1,1,143880,875,792,2,3402,26870,0,32350,165,1,9.94,1,0,8,22,0.59,1
0,31,2,1,1,0,3,1,92913,4385,760,0,27289,22446,0,20714,153,1,13.82,0,1,7,6,0.72,1
0,44,1,0,1,0,3,1,144951,552,835,2,22916,1801,0,20394,95,3,10.43,0,1,4,24,0.04,1
0,26,2,0,0,1,3,1,63361,871,740,2,13951,14560,0,20000,48,1,7.79,1,1,2,9,0.55,1
1,48,1,3,0,2,2,1,111128,3355,701,2,19665,19677,0,31070,220,2,10.91,0,0,1,18,0.25,1
1,41,1,1,0,1,0,1,111744,644,806,0,45016,7495,0,33158,38,1,11.38,0,1,8,12,0.89,1
0,28,1,3,0,0,3,1,84604,1880,749,2,44918,22308,0,20424,29,0,14.48,1,1,6,16,0.76,0
0,44,1,2,0,1,3,1,85875,2754,796,2,12506,4051,0,21871,52,1,12.87,1,0,6,26,0.83,1
1,41,1,0,2,2,2,1,148052,1139,705,2,8037,1685,1,21558,154,1,6.83,1,0,3,29,0.86,1
1,25,2,0,0,2,0,1,46987,1422,419,1,15390,21626,0,16634,25,1,8.0,1,1,7,15,0.63,0
1,46,1,1,0,0,0,1,71481,4766,706,2,5020,498,0,20330,192,1,6.43,0,1,2,18,0.55,1
1,26,1,2,1,0,2,0,146424,2777,816,2,5108,12047,0,25868,237,1,9.99,0,0,7,6,0.3,1
1,28,1,2,2,1,2,1,142441,4623,814,1,24705,10631,0,32881,239,2,8.11,1,1,9,7,0.26,1
0,47,1,3,0,0,2,1,66082,3045,717,0,38639,8212,0,20000,15,1,7.71,1,1,8,10,0.36,1
0,33,2,0,1,0,3,1,100266,1646,773,1,39212,23608,0,21507,80,3,9.62,0,0,0,6,0.93,1
1,42,2,0,2,0,3,2,114193,1466,753,2,26082,12689,0,22575,139,2,9.75,0,0,6,14,0.94,1
1,38,2,0,2,0,2,1,135608,2715,836,0,31403,3937,0,29388,17,1,3.56,0,1,5,9,0.99,1
0,25,1,3,2,0,0,1,122816,1471,717,2,32778,14871,0,25642,141,0,14.35,0,1,4,9,0.3,0
0,34,2,2,0,2,3,2,117198,4390,705,1,41139,6902,0,23492,126,3,12.02,1,0,7,29,0.01,1
1,31,2,0,1,1,0,0,93739,3571,821,0,43229,19881,0,25593,125,0,12.53,0,1,9,5,0.17,1
1,49,2,1,0,2,0,1,102396,2038,736,2,42220,9003,0,26115,92,3,6.07,0,1,9,10,0.67,1
0,42,2,3,1,2,0,1,111515,4891,777,0,36218,7991,0,26811,183,3,5.5,1,0,7,26,0.32,1
0,43,2,1,1,2,3,1,74482,808,755,2,26639,21173,1,21893,235,1,13.72,1,0,0,27,0.35,1
0,37,1,0,1,1,0,0,103035,4971,799,2,46016,27291,0,25205,148,2,9.7,1,0,4,29,0.06,0
1,39,1,0,2,1,0,1,91843,3290,751,1,25344,29600,0,26470,25,2,8.2,1,0,7,7,0.0,1
1,44,2,0,1,2,3,1,97232,2200,711,2,12671,10283,0,21848,142,0,7.02,0,1,9,11,0.27,1
0,56,2,1,1,0,0,1,48073,1527,581,1,30313,11554,0,16453,60,3,8.4,1,0,2,27,0.91,0
1,51,1,3,2,1,2,1,61008,4652,394,0,27967,27120,0,19104,72,1,13.82,1,1,7,21,0.59,0
0,44,2,3,0,0,3,1,96007,4875,733,1,9851,29635,0,28726,40,1,14.27,0,0,8,26,0.71,1
0,44,2,2,1,0,0,1,82148,2845,789,0,32820,5898,0,21420,232,3,12.33,0,1,4,19,0.82,0
1,44,1,1,1,0,2,1,119010,1732,739,0,47495,14548,0,22483,222,1,8.36,1,0,4,12,0.29,1
0,31,0,0,0,0,0,2,111213,655,717,1,28329,22484,1,22193,185,3,8.57,1,1,7,5,0.43,1
0,55,2,2,0,2,1,1,22995,3947,370,0,37697,11939,0,6349,207,1,11.91,0,0,2,28,0.08,1
0,35,2,0,0,1,3,1,45439,2011,317,0,20784,23833,0,16799,114,0,14.58,0,1,3,8,0.98,0
0,63,1,0,0,0,1,2,48917,3853,437,0,45956,23582,1,18201,196,2,8.23,1,0,6,23,0.48,0
1,35,0,1,1,0,3,2,89991,1834,728,1,48640,24140,0,26823,98,3,14.0,0,1,2,27,0.44,1
1,35,1,1,0,1,1,1,136772,2885,844,0,7145,24175,0,21751,69,1,5.35,1,1,2,18,0.48,0
0,27,1,3,0,0,3,1,30043,2982,386,1,40133,7307,0,9345,125,1,9.48,1,0,6,27,0.23,0
0,26,1,2,0,0,2,2,138116,1937,825,1,17675,6643,0,37806,118,3,12.01,1,1,4,17,0.73,1
1,52,1,2,0,0,2,1,68454,4348,459,2,39441,22979,0,9049,183,3,9.62,1,0,5,19,0.12,0
1,34,1,2,0,2,3,1,81870,2417,703,0,7382,10615,1,21297,207,1,14.13,1,1,5,23,0.55,1
0,25,1,0,1,0,2,2,123651,4109,833,2,26162,6687,0,28493,183,3,10.01,0,1,6,6,0.21,0
0,40,2,2,1,1,1,2,111104,2741,730,2,28084,22382,0,24031,178,0,13.64,0,0,7,14,0.56,1
0,38,1,3,0,2,3,1,88833,854,736,0,2217,22205,0,23341,145,1,7.13,0,1,0,26,0.28,1
1,33,1,1,0,2,0,1,77471,2174,791,2,28055,12756,0,22999,135,1,14.43,1,0,4,16,0.46,1
1,31,0,0,1,0,3,0,88329,1652,789,1,31523,14904,0,21160,63,1,12.84,1,0,8,13,0.16,1
1,47,2,3,0,1,2,1,66800,2521,721,2,38894,27649,0,20016,93,3,5.36,0,0,7,20,0.35,0
1,49,1,2,1,2,0,1,77107,4637,791,2,17227,15275,0,22315,52,1,8.42,0,0,9,6,0.59,1
1,25,0,2,0,2,1,1,117146,755,805,1,35675,3056,0,21550,12,2,13.59,0,0,0,9,0.33,0
1,37,1,1,1,1,3,0,28429,3868,400,2,32442,21749,0,5036,117,0,12.91,1,0,4,5,0.2,0
1,49,1,0,1,2,2,1,102819,4202,738,0,37495,27704,0,28084,57,2,5.35,1,0,0,22,0.28,1
1,46,1,3,0,0,2,2,97189,3768,827,1,16260,8293,1,25630,181,2,11.32,0,1,5,18,0.01,1
1,63,1,1,2,0,2,1,22908,3269,407,1,15287,6287,0,6189,150,2,6.95,0,1,0,29,0.9,0
0,57,2,0,0,0,0,0,25687,3648,569,1,22229,15254,0,5995,134,2,6.64,0,1,9,17,0.75,1
1,27,2,3,0,1,3,2,144838,4078,716,0,15034,20243,0,35618,168,3,11.4,1,0,4,16,0.36,1
1,55,1,0,1,0,1,2,67225,2022,457,0,15999,26892,1,25122,166,1,8.4,0,0,2,25,0.88,1
0,39,0,3,1,1,3,1,123367,4679,732,0,7755,17652,0,32713,139,3,6.18,1,0,8,21,0.8,1
0,44,1,1,0,0,0,1,101272,787,761,1,7702,10569,1,21371,34,0,9.31,1,0,6,17,0.42,0
0,39,2,0,0,0,3,1,64778,822,817,0,48244,8290,0,20000,86,2,7.61,0,0,8,29,0.49,1
1,32,2,3,1,1,1,1,135056,1640,742,0,48029,9438,0,27453,229,3,11.69,1,0,9,16,0.69,1
1,48,1,2,1,2,1,1,69969,3189,423,1,2253,29194,0,14911,65,2,13.91,1,0,6,25,0.14,0
1,36,2,2,0,0,1,2,47212,3186,336,2,24156,15083,0,8225,99,1,4.53,1,0,0,10,0.55,0
0,22,2,3,0,0,0,2,66376,4099,415,2,3795,28122,0,26089,101,2,6.11,1,1,6,21,0.05,0
0,62,2,0,1,1,1,1,49392,1284,560,0,35403,8596,0,18138,207,1,13.31,1,1,3,23,0.62,0
1,26,2,0,0,0,0,2,68346,1303,828,1,31145,6179,0,20163,197,0,14.87,1,0,9,19,0.9,1
0,36,2,2,0,1,0,1,80897,3409,826,1,2214,18106,1,22904,128,3,12.8,0,0,8,9,0.95,1
1,33,1,3,0,1,3,1,55842,1033,347,1,34966,9685,0,5117,93,2,3.68,0,1,7,9,0.72,1
0,24,2,1,1,0,1,0,58693,3335,361,0,26322,12607,0,13638,239,2,6.14,0,0,6,10,0.03,0
0,58,1,3,2,0,3,2,33536,2686,420,2,1089,7817,0,11085,12,0,14.26,0,0,3,17,0.5,0
1,38,1,3,1,1,1,0,51890,726,327,2,5373,20267,0,17418,43,3,4.63,1,0,1,11,0.12,0
1,36,1,0,2,0,1,1,52913,1440,707,1,35730,9635,1,20000,234,2,4.0,0,0,6,27,0.19,1
1,42,1,2,0,0,3,2,24180,4901,537,1,39962,29584,0,7693,84,3,11.48,0,0,3,11,0.09,0
0,64,2,0,0,2,3,1,24695,1376,356,2,6346,26542,0,9622,99,1,9.84,0,0,4,11,0.43,0
1,62,1,1,1,0,2,0,30633,2288,309,1,29485,11463,0,8615,39,0,9.22,0,1,6,26,0.8,0
1,26,2,3,0,1,0,1,123131,3394,755,0,6397,19113,0,20156,12,3,9.88,0,0,2,25,0.8,1
0,32,1,3,1,0,2,1,69105,1098,805,2,4159,12444,0,20703,99,2,8.3,1,1,5,12,0.87,1
0,43,2,1,2,1,1,2,103328,3886,804,2,25884,17093,1,24487,140,3,14.8,1,1,7,25,0.46,1
1,34,1,0,1,0,0,2,111510,1721,767,1,22713,26247,0,30618,189,3,10.38,0,0,7,6,0.87,1
1,43,2,2,2,0,0,2,96317,1999,722,0,36110,63,0,28437,82,1,8.8,0,1,3,6,0.93,1
1,45,2,0,0,1,2,1,104208,4357,794,2,36108,25535,0,22660,176,0,12.45,1,1,5,23,0.48,1
0,45,2,1,0,0,2,1,66224,4319,751,2,26663,2334,0,20000,176,3,8.94,0,1,9,29,0.18,1
0,25,2,3,0,0,0,1,105653,2706,707,0,8887,20718,0,21159,211,1,8.08,0,1,3,25,0.66,1
1,32,0,0,1,0,1,1,54211,3436,744,1,6472,8638,0,20000,235,3,12.95,0,0,2,24,0.84,1
0,38,1,2,0,1,3,2,123920,3529,824,0,15,1925,0,34393,65,3,6.3,0,1,5,16,0.41,1
1,47,2,1,0,2,3,1,135156,4366,702,2,1981,7070,0,22017,16,1,13.36,1,1,8,12,0.38,1
0,32,1,2,0,1,2,1,70748,4475,793,1,48975,6778,0,20489,168,3,8.61,0,1,6,7,0.66,1
0,27,1,0,0,0,3,1,72342,4903,720,1,28106,10223,0,20308,186,1,14.29,1,0,1,22,0.81,1
1,47,1,3,0,0,1,1,79110,1567,760,1,9944,27619,0,20780,136,2,11.4,1,1,8,7,0.98,0
1,38,1,3,2,1,0,1,145736,3240,761,0,17158,29338,0,36662,20,1,13.86,0,1,4,24,0.07,0
1,24,1,2,0,1,1,1,38074,1542,309,1,1771,2099,0,14115,127,0,6.31,0,0,2,17,0.48,1
0,26,2,3,1,0,0,1,108712,3261,785,1,6200,20563,0,23291,173,3,8.98,1,0,9,11,0.42,1
0,43,1,2,0,1,2,0,105862,1111,822,0,21255,9995,0,25379,185,1,10.61,0,1,9,27,0.77,1
1,45,1,2,0,2,3,1,52974,2180,585,1,3593,444,1,6900,124,1,3.7,0,0,4,24,0.13,0
0,30,2,3,0,1,2,1,134252,4250,807,2,23027,25460,0,33049,160,3,4.07,0,0,2,28,0.86,0
1,53,1,3,1,0,3,1,29908,1930,301,2,37800,23023,0,11854,105,1,14.21,1,1,9,20,0.56,0
1,69,1,0,2,1,2,0,23486,4196,402,2,7807,21867,0,7709,210,2,5.8,1,1,6,20,0.14,0
1,25,2,0,0,0,2,2,57735,1557,825,2,19061,25909,0,20000,230,1,14.46,1,0,0,13,0.6,1
0,48,1,3,0,1,0,2,68677,1433,847,0,11738,8827,0,20585,112,3,3.94,0,1,8,29,0.87,1
1,42,1,1,1,2,1,1,123944,4103,765,2,31474,8006,0,33729,108,1,9.97,1,0,2,10,0.84,1
0,30,1,0,0,0,1,1,147866,2775,831,1,26329,19519,0,37674,190,2,8.18,0,0,7,29,0.64,1
1,34,2,1,0,0,3,1,60855,2293,741,1,43464,19909,0,20000,52,2,4.82,0,1,2,25,0.1,1
1,39,2,3,0,0,1,1,114500,2301,734,2,26987,23049,0,32742,56,1,12.18,0,0,6,15,0.31,1
1,49,1,2,1,0,1,2,39548,3900,394,2,1476,15256,0,14278,176,1,12.06,0,0,9,14,0.69,0
0,41,1,0,1,0,3,1,94405,2326,807,0,29389,23434,0,22972,129,1,10.33,0,1,1,21,0.06,1
0,25,2,3,0,0,2,2,147213,1839,709,2,31128,11740,0,23622,17,1,14.48,1,1,0,24,0.49,1
0,39,1,3,1,2,1,1,134411,1086,714,2,17816,26142,0,37162,112,2,8.46,0,0,5,9,0.97,1
0,26,0,1,2,1,1,0,61325,4499,726,2,34738,17718,1,20000,43,1,9.43,1,1,7,27,0.4,1
0,46,2,3,0,2,2,1,60022,3510,731,0,36619,11431,0,20000,129,2,10.97,1,1,7,8,0.25,1
0,28,0,1,2,0,2,2,108432,2338,712,2,42425,21711,1,22756,36,1,13.79,0,1,1,13,0.8,1
0,32,0,2,0,1,1,2,73214,509,761,2,11515,1224,1,20084,122,1,9.29,1,1,0,13,0.31,1
0,24,2,0,0,1,3,1,39257,3274,596,2,48788,14187,0,14052,45,0,12.04,1,0,3,17,0.56,0
1,28,1,3,2,0,0,1,142881,2127,796,2,15162,16457,0,28880,23,2,4.74,1,0,6,23,0.81,1
0,37,1,1,1,1,0,1,136664,4200,720,0,13615,3714,0,38371,107,0,4.64,1,1,1,24,0.95,1
1,44,2,3,0,0,3,1,73170,3479,832,2,38932,2708,0,20707,78,1,7.44,1,0,9,5,0.12,1
0,40,0,0,2,2,1,1,82014,3744,841,0,31197,21555,1,24023,14,1,10.91,1,0,8,15,0.1,1
0,45,1,2,1,1,2,2,101716,4592,802,2,14266,15928,1,21419,137,3,3.8,1,1,4,7,0.5,1
0,32,2,3,0,1,3,2,20378,3534,530,2,22401,29248,0,7106,96,1,11.66,0,1,7,23,0.45,0
